"id","active","auto_apply","company_id/id","country_group_id/id","country_id/id","name","note","sequence","vat_required","zip_from","zip_to"
"l10n_de_skr03.5_fiscal_position_eu_no_id_purchase_skr03","True","False","__setup__.res_company_roctool_gmbh","","","Lieferant EU (ohne Ust-ID)","","0","False","0","0"
"l10n_de_skr03.5_fiscal_position_non_eu_purchase_skr03","True","False","__setup__.res_company_roctool_gmbh","","","Lieferant Ausland","","0","False","0","0"
"l10n_de_skr03.5_fiscal_position_eu_vat_id_sale_skr03","True","False","__setup__.res_company_roctool_gmbh","","","Kunde EU Unternehmen (mit USt-ID)","","0","False","0","0"
"l10n_de_skr03.5_fiscal_position_non_eu_sale_skr03","True","False","__setup__.res_company_roctool_gmbh","","","Kunde Ausland","","0","False","0","0"
"l10n_de_skr03.5_fiscal_position_eu_vat_id_purchase_skr03","True","False","__setup__.res_company_roctool_gmbh","","","Lieferant EU Unternehmen (mit USt-ID)","","0","False","0","0"
"l10n_de_skr03.5_fiscal_position_eu_no_id_sale_skr03","True","False","__setup__.res_company_roctool_gmbh","","","Kunde EU (ohne USt-ID)","","0","False","0","0"
"l10n_jp.7_fiscal_position_tax_inclusive_template","True","False","__setup__.res_company_roctool_japan","","","内税","","0","False","0","0"
"l10n_jp.7_fiscal_position_tax_exclusive_template","True","False","__setup__.res_company_roctool_japan","","","外税","","0","False","0","0"
"l10n_jp.7_fiscal_position_tax_exempt_template","True","False","__setup__.res_company_roctool_japan","","","海外取引先","","0","False","0","0"
"l10n_fr.1_fiscal_position_template_intraeub2b","True","False","base.main_company","","","Intra-EU B2B","French VAT exemption according to articles 262 ter I (for products) and/or 283-2 (for services) of ""CGI""","0","False","0","0"
"l10n_fr.1_fiscal_position_template_import_export","True","False","base.main_company","","","Import/Export + DOM-TOM","French VAT exemption according to articles 262 I of ""CGI""","0","False","0","0"
"__custom__.fr_fiscal_position_cn","True","False","base.main_company","","","Intra Groupe CN","","0","False","0","0"
"__custom__.fr_fiscal_position_tw","True","False","base.main_company","","","Intra Groupe TW","","0","False","0","0"
"__custom__.fr_fiscal_position_de","True","False","base.main_company","","","Intra Groupe DE","","0","False","0","0"
"__custom__.fr_fiscal_position_us","True","False","base.main_company","","","Intra Groupe US","","0","False","0","0"
"__custom__.fr_fiscal_position_jp","True","False","base.main_company","","","Intra Groupe JP","","0","False","0","0"
